Time,GH2-PM2.5,GH3-PM2.5,GH4-PM2.5
1,11.3825,12.2775,10.8275
2,16.185,9.033,10.832
3,12.13,7.7285,14.175
4,14.475,15.405,13.9925
5,11.735,14.355,10.7125
6,11.32,4.39575,10.0475
7,19.765,5.28875,15.7003
8,14.0875,15.36225,16.6848
9,16.095,15.616,6.7125
10,10.097,4.45475,6.524
11,5.4065,4.03175,5.9255
12,6.95975,4.723,5.59675
13,6.899,5.1275,6.7125
14,6.7175,5.12325,5.84375
15,12.1998,5.318,7.28375
16,15.0225,5.8405,9.90376
17,18.6175,17.091,54.35
18,47.76,34.285,11.264
19,32.0725,19.38,13.3245
20,36.68,14.0125,19.7
21,34.58,5.32825,11.6875
22,34.9525,5.69425,27.2025
23,25.1075,5.26025,16.23
24,22.235,4.2815,18.1425
